title,company,location,country,description,job_url,date_posted,salary_min,salary_max,salary_text,source,dedup_key
Data Analytics Engineer,Skanska,"Charlotte, Mecklenburg County",us,"Skanska is searching for a dynamic Data Analytics Engineer. This is a great opportunity to start a career with a company that builds things that matter and values its team. We are proud to share our culture of diversity and inclusion. Our work makes a clear contribution to society and the environment around us. We build in many different verticals. Whether we are building schools to provide inspiring spaces for learning, roads to connect communities, or hospitals to care for patients, it all co…",https://www.adzuna.com/land/ad/5723692827?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=EB46D1FA50763C2F0A5991F81BB36FCA7D10C35D,2026-05-08T21:36:46Z,106122.02,106122.02,,Adzuna Live API,9424b055487b4f45d2155cbade8b0995
Staff Analytics Engineer,RxBenefits,"Bonnie, Utah County",us,"The Staff Analytics Engineer contributes to the creation and maintenance of the enterprise data warehouse that will support all reporting and analytic functions at the company. This position analyzes, tests, and implements ELT, connections, and extracts supporting various business applications (including definition, structure, documentation, long-range requirements, operational guidelines). Ensures data warehouse resilience, availability, recovery, maintenance, data integrity and capacity plann…",https://www.adzuna.com/land/ad/5704248832?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=850BB6E06DAF744095422D9AFD822DC13386D6B5,2026-04-19T00:42:32Z,129389.95,129389.95,,Adzuna Live API,057911dc4ac30a82cb3f9cddf4124737
Lead Analytics Engineer,ARAMARK,"North Bethesda, Montgomery County",us,"Job Description We are looking for a highly independent Lead Analytics Engineer to own and evolve our enterprise BI data layer, built on Snowflake and DBT. This role goes beyond implementation - you will be responsible for data modeling decisions, pipeline design, validation, and system reliability across a complex and evolving data ecosystem. You will work closely with analytics, supply chain, and engineering teams but are expected to drive technical solutions end-to-end, including in ambiguou…",https://www.adzuna.com/land/ad/5746004460?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=4CE3F9E5C246FDAB32AD97DA2C54168C6A6ECF22,2026-05-30T18:30:17Z,119915.3,119915.3,,Adzuna Live API,1489c43d9ee168903260344edd2b45fc
Data Analytics Engineer,Insight Global,"Harrison, Westchester County",us,"Job Description Insight Global is seeking a Data Analytics Engineer for a top professional sports and sports technology client. This candidate will serve as a core analytics consultant supporting elite athlete performance and operational decision-making. The role focuses on migrating and optimizing Tableau dashboards built on AWS Redshift while taking full ownership of a specialized athlete management platform. The ideal candidate is technically strong, highly curious, and eager to become a sub…",https://www.adzuna.com/land/ad/5737134563?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=4F2CD6260BD1F70D703DC09236DBC1F89D1F154D,2026-05-21T21:37:18Z,156506.62,156506.62,,Adzuna Live API,4f3ae464e6b55a3b9c55b0f4e3460549
Data & Analytics Engineer,"CGI Technologies and Solutions, Inc.","Nashville, Davidson County",us,"Data & Analytics Engineer Category: Analytics and Emerging Digital Technologies Main location: United States, Tennessee, Nashville Position ID: J0426-0320 Employment Type: Full Time Position Description: Do you want to take your career to the next level? CGI is looking for a dedicated and experienced Data and Analytics Engineer with a passion for solving business problems to join our team in Nashville. At CGI, you will solve important business and technical problems as a full-time consultant se…",https://www.adzuna.com/land/ad/5692626951?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=601593B9B0C52BD90CCD74F32112FB2692580ED8,2026-04-07T21:55:55Z,132011.67,132011.67,,Adzuna Live API,a2910b8d4876fd403491036c7dfb12b2
Advanced Analytics Engineer,Honeywell Aerospace,"Phoenix, Maricopa County",us,"As an Advanced Analytics Engineer here at Honeywell Aerospace Commercial Excellence Team, you will play a critical role in driving data-driven decision-making and providing valuable insights to support business growth and operational excellence. You will be responsible for managing analytics projects, collaborating with cross-functional teams, and delivering actionable insights to drive business outcomes in the aerospace industry. In this role, you will impact the aerospace industry by building…",https://www.adzuna.com/land/ad/5735748090?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=0A4F07CECAE2963BB4C1D552B19C4BA6B9BEF619,2026-05-20T21:28:59Z,75028.98,75028.98,,Adzuna Live API,45a06bca2bf17d9bf560b5a0c7099bbb
Advanced Analytics Engineer,Honeywell Aerospace,"Charlotte, Mecklenburg County",us,"As an Advanced Analytics Engineer here at Honeywell Aerospace Commercial Excellence Team, you will play a critical role in driving data-driven decision-making and providing valuable insights to support business growth and operational excellence. You will be responsible for managing analytics projects, collaborating with cross-functional teams, and delivering actionable insights to drive business outcomes in the aerospace industry. In this role, you will impact the aerospace industry by building…",https://www.adzuna.com/land/ad/5735776448?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=B66FC2BA0FE34DB1D8D60AC99E06DF9EBF0E0FCA,2026-05-20T21:33:38Z,77329.87,77329.87,,Adzuna Live API,7956113f944dbb35d5ea9d572ab94b2e
Data Analytics Engineer,Insight Global,"Pico Heights, Los Angeles County",us,"Job Description Overview A client in the luxury fashion space is looking for a Data Analyst/Engineer hybrid. This role sits at the intersection of business, data, and engineering. The individual will partner closely with Finance, B2C, eCommerce, Retail, and Digital Marketing stakeholders to understand their needs, translate requests into data requirements, and work with Data Engineering to deliver reliable data models and dashboards. The role is highly SQL driven with a strong emphasis on debug…",https://www.adzuna.com/land/ad/5718251925?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=DC8B713FC65DFF2DD2CEC24ADAACA9C14D6B54B6,2026-05-03T18:35:09Z,110268.33,110268.33,,Adzuna Live API,18875d70559f026e6d3ca2f686fc9604
Senior Analytics Engineer,Insight Global,"Guadalupe, Maricopa County",us,"Job Description We are seeking a highly skilled and experienced Senior Analytics Engineer with expertise in Microsoft technologies to join our dynamic team The ideal candidate will be responsible for designing, developing, and maintaining business intelligence solutions, with a strong emphasis on semantic layer design and scalable data modeling. This role will involve collaborating with cross-functional teams to gather requirements, design data models, and implement robust BI solutions to suppo…",https://www.adzuna.com/land/ad/5749937406?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=77E81CF41965F7B1D9AF0F32E4F94ABD4E9B8273,2026-06-02T21:31:32Z,160685.08,160685.08,,Adzuna Live API,b16a34790f501fbe6bdb4591bc17cad7
Cognitive Analytics Engineer,Corteva Agriscience,"Johnston, Polk County",us,"At Corteva Agriscience , you will help us grow what's next. No matter your role, you will be part of a team that is building the future of agriculture - leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind. Please note: there is no visa sponsorship provided for this role. We're looking for a Cognitive Analytics Engineer to join our Artificial Intelligence in Breeding group. Yo…",https://www.adzuna.com/land/ad/5731954785?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=0A42E6AB793B29AAC59E5B2233E9BA7740C304CE,2026-05-16T21:12:12Z,129738.4,129738.4,,Adzuna Live API,cdf7e58ad477a23fead7d1fbeb09dea5
Analytical Engineer II,"Techtronic Industries North America, Inc.","Sandy Springs, Anderson County",us,"Job Description: Primary Responsibilities:  Support new product development (NPD) through CAE simulations, including CFD and FEA. Responsibilities include axial and centrifugal fan design, internal flow path development, and structural integrity and durability.  Support the Advanced Engineering team in the research and development of new to market products and technology.  Perform and develop techniques for multi-physics simulations including conjugate heat transfer analysis, spray atomization,…",https://www.adzuna.com/land/ad/5396190849?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=35D1B6D740CCE5996CF0B5C9EDF350C63940A4AE,2025-09-12T15:00:10Z,80063.93,80063.93,,Adzuna Live API,f6991cb25dda6b43de360e89a36a1a87
Data Analytics Engineer,Insight Global,"Atlanta, Fulton County",us,"Job Description Our client is seeking a skilled and inquisitive Data Analyst / BI Developer to join our growing Data & Analytics team. In this role, you will analyze, validate, and interpret data across our Azure-based analytics platform, transforming raw data into meaningful insights through high-quality Power BI dashboards. You will work closely with business stakeholders and data engineering teams to ensure data is accurate, accessible, and actionable, enabling self-service analytics within …",https://www.adzuna.com/land/ad/5696231991?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=D87566B917E2A84F62F811083A0DEAF063FF65E2,2026-04-10T21:45:41Z,156491.39,156491.39,,Adzuna Live API,b2f63043eeaf84025ef2be6da84a3309
Industrial Data Analytics Engineer,Jobot,"Mc Elhattan, Clinton County",us,"We are a growing manufacturing company looking to add a Industrial Data Analytics Engineer to our growing team! This Jobot Job is hosted by: Ryan Rubino Are you a fit? Easy Apply now by clicking the ""Quick Apply"" buttonand sending us your resume. Salary: $85,000 - $90,000 per year A bit about us: We are a growing manufacturing company looking to add a Industrial Data Analytics Engineer to our growing team! Why join us? Great pay/benefits! Room for career growth! Excellent employee culture! Job …",https://www.adzuna.com/land/ad/5752621248?se=HkwlSVVh8RGHk5mrcEw0_Q&utm_medium=api&utm_source=a2c527c1&v=644A87A9BFC0E19F8F413C9693A1C9E2F5D38542,2026-06-04T21:16:19Z,90890.16,90890.16,,Adzuna Live API,3475a9229bad4b7788dd5481ebd9be8e
